size	colour	x	y	key	showSelectedlegendcolour	clickSelects	PANEL	fill
2.83299400010958	#00C094	2.77	74.3887317073171	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	3	#00C094
4.19414279760256	#A58AFF	7.847	45.0098536585366	Afghanistan	South Asia	Afghanistan	3	#A58AFF
2.89227528225573	#C49A00	2.33	73.7218292682927	Albania	Europe & Central Asia (all income levels)	Albania	3	#C49A00
2.86147003937489	#C49A00	1.712	70.4924878048781	Armenia	Europe & Central Asia (all income levels)	Armenia	3	#C49A00
3.80363739008562	#FB61D7	6.882	44.4390975609756	Angola	Sub-Saharan Africa (all income levels)	Angola	3	#FB61D7
4.9661805225029	#53B400	2.535	73.5034634146342	Argentina	Latin America & Caribbean (all income levels)	Argentina	3	#53B400
3.38669356000298	#C49A00	1.34	77.7756097560976	Austria	Europe & Central Asia (all income levels)	Austria	3	#C49A00
4.13506219647205	#F8766D	1.755	78.9317073170732	Australia	East Asia & Pacific (all income levels)	Australia	3	#F8766D
2.13348135180399	#53B400	1.905	73.6753902439025	Aruba	Latin America & Caribbean (all income levels)	Aruba	3	#53B400
3.3858611794886	#C49A00	2.07	66.3554878048781	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	3	#C49A00
2.94909768777046	#C49A00	1.454	73.714	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	3	#C49A00
2.24603929198936	#53B400	1.585	75.3094146341464	Barbados	Latin America & Caribbean (all income levels)	Barbados	3	#53B400
7.5968716171558	#A58AFF	3.231	64.2339024390244	Bangladesh	South Asia	Bangladesh	3	#A58AFF
3.568900716622	#C49A00	1.62	77.619512195122	Belgium	Europe & Central Asia (all income levels)	Belgium	3	#C49A00
3.64799397515309	#FB61D7	6.314	49.8854878048781	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	3	#FB61D7
3.40553919302197	#C49A00	1.23	71.4121951219512	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	3	#C49A00
2.38840106551203	#00C094	2.775	73.6713658536585	Bahrain	Middle East & North Africa (all income levels)	Bahrain	3	#00C094
3.25463389114328	#FB61D7	5.904	45.6705609756098	Burundi	Sub-Saharan Africa (all income levels)	Burundi	3	#FB61D7
3.27324925272724	#FB61D7	6.041	52.291756097561	Benin	Sub-Saharan Africa (all income levels)	Benin	3	#FB61D7
2.2731007432785	#F8766D	2.477	75.9883414634146	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	3	#F8766D
3.41509224005413	#53B400	4.219	62.6008780487805	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	3	#53B400
8.43883818722719	#53B400	2.399	69.8144634146341	Brazil	Latin America & Caribbean (all income levels)	Brazil	3	#53B400
2.25903130813644	#53B400	2.165	71.3034390243903	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	3	#53B400
2.35861263557551	#A58AFF	3.855	60.4560975609756	Bhutan	South Asia	Bhutan	3	#A58AFF
2.64199464713013	#FB61D7	3.519	52.1589512195122	Botswana	Sub-Saharan Africa (all income levels)	Botswana	3	#FB61D7
3.55412604119257	#C49A00	1.31	67.9073170731707	Belarus	Europe & Central Asia (all income levels)	Belarus	3	#C49A00
2.2285887728324	#53B400	3.696	73.4443170731708	Belize	Latin America & Caribbean (all income levels)	Belize	3	#53B400
4.71076002629599	#00B6EB	1.51	78.8829268292683	Canada	North America	Canada	3	#00B6EB
5.32535229983863	#FB61D7	6.974	45.4424146341463	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	3	#FB61D7
2.92563449938218	#FB61D7	5.488	43.9533414634146	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	3	#FB61D7
2.85453408563162	#FB61D7	4.964	54.1409024390244	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	3	#FB61D7
3.31088812070251	#C49A00	1.48	79.580487804878	Switzerland	Europe & Central Asia (all income levels)	Switzerland	3	#C49A00
3.95077102837456	#FB61D7	5.22	50.1789024390244	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	3	#FB61D7
3.91732436953922	#53B400	2.135	76.4228292682927	Chile	Latin America & Caribbean (all income levels)	Chile	3	#53B400
