size	colour	x	y	key	showSelectedlegendcolour	clickSelects	PANEL	fill
2.86680967824059	#00C094	2.527	74.8370731707317	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	3	#00C094
4.26765586390777	#A58AFF	7.595	45.5672682926829	Afghanistan	South Asia	Afghanistan	3	#A58AFF
2.88796172405496	#C49A00	2.142	74.7236585365854	Albania	Europe & Central Asia (all income levels)	Albania	3	#C49A00
2.85671970212691	#C49A00	1.684	71.4580487804878	Armenia	Europe & Central Asia (all income levels)	Armenia	3	#C49A00
3.86116819001796	#FB61D7	6.751	45.9733170731707	Angola	Sub-Saharan Africa (all income levels)	Angola	3	#FB61D7
4.99685451375501	#53B400	2.425	73.929512195122	Argentina	Latin America & Caribbean (all income levels)	Argentina	3	#53B400
3.39102986945775	#C49A00	1.33	78.5268292682927	Austria	Europe & Central Asia (all income levels)	Austria	3	#C49A00
4.16237885940719	#F8766D	1.739	79.6341463414634	Australia	East Asia & Pacific (all income levels)	Australia	3	#F8766D
2.136948745759	#53B400	1.848	73.7823902439024	Aruba	Latin America & Caribbean (all income levels)	Aruba	3	#53B400
3.39698753985208	#C49A00	1.8	67.1476829268293	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	3	#C49A00
2.96513418842567	#C49A00	1.363	74.5531707317073	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	3	#C49A00
2.24705415338074	#53B400	1.534	75.5086829268293	Barbados	Latin America & Caribbean (all income levels)	Barbados	3	#53B400
7.69851031525874	#A58AFF	3.013	65.2083170731707	Bangladesh	South Asia	Bangladesh	3	#A58AFF
3.57351482561335	#C49A00	1.6632	77.9731707317073	Belgium	Europe & Central Asia (all income levels)	Belgium	3	#C49A00
3.69587002771655	#FB61D7	6.208	50.5655609756098	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	3	#FB61D7
3.389121423112	#C49A00	1.21	71.7682926829268	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	3	#C49A00
2.40595172478155	#00C094	2.677	73.9182926829268	Bahrain	Middle East & North Africa (all income levels)	Bahrain	3	#00C094
3.28257552206409	#FB61D7	5.632	46.3363902439024	Burundi	Sub-Saharan Africa (all income levels)	Burundi	3	#FB61D7
3.31372788518761	#FB61D7	5.895	52.8190975609756	Benin	Sub-Saharan Africa (all income levels)	Benin	3	#FB61D7
2.2794753863866	#F8766D	2.341	76.4649024390244	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	3	#F8766D
3.44431583894994	#53B400	4.063	63.3241707317073	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	3	#53B400
8.53105607997106	#53B400	2.319	70.4396341463415	Brazil	Latin America & Caribbean (all income levels)	Brazil	3	#53B400
2.26344332896483	#53B400	1.989	71.9696829268293	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	3	#53B400
2.3693051750058	#A58AFF	3.51	62.2373170731707	Bhutan	South Asia	Bhutan	3	#A58AFF
2.65287098345562	#FB61D7	3.316	49.8115609756098	Botswana	Sub-Saharan Africa (all income levels)	Botswana	3	#FB61D7
3.54580571686418	#C49A00	1.27	68.5073170731707	Belarus	Europe & Central Asia (all income levels)	Belarus	3	#C49A00
2.23551637498821	#53B400	3.493	73.6489268292683	Belize	Latin America & Caribbean (all income levels)	Belize	3	#53B400
4.73654530975474	#00B6EB	1.505	79.4878048780488	Canada	North America	Canada	3	#00B6EB
5.40691479578142	#FB61D7	6.835	45.9421951219512	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	3	#FB61D7
2.94298773306302	#FB61D7	5.392	43.5235365853659	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	3	#FB61D7
2.87697432522699	#FB61D7	4.899	54.2130487804878	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	3	#FB61D7
3.31875889057199	#C49A00	1.38	80.1804878048781	Switzerland	Europe & Central Asia (all income levels)	Switzerland	3	#C49A00
3.98858214122974	#FB61D7	5.109	50.2505609756098	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	3	#FB61D7
3.94067673885876	#53B400	2.047	77.2072195121951	Chile	Latin America & Caribbean (all income levels)	Chile	3	#53B400
