size	colour	x	y	key	showSelectedlegendcolour	clickSelects	PANEL	fill
2.14113807981099	#00C094	6.91	52.6601463414634	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	3	#00C094
3.46786303771923	#A58AFF	7.7	31.4752926829268	Afghanistan	South Asia	Afghanistan	3	#A58AFF
2.63131889573589	#C49A00	5.891	63.2734634146342	Albania	Europe & Central Asia (all income levels)	Albania	3	#C49A00
2.68015636371573	#C49A00	4.512	66.2754634146342	Armenia	Europe & Central Asia (all income levels)	Armenia	3	#C49A00
3.10239809848552	#FB61D7	7.354	33.3862195121951	Angola	Sub-Saharan Africa (all income levels)	Angola	3	#FB61D7
4.24691009853239	#53B400	3.1	65.2966341463415	Argentina	Latin America & Caribbean (all income levels)	Argentina	3	#53B400
3.30557303937951	#C49A00	2.799	69.5773170731707	Austria	Europe & Central Asia (all income levels)	Austria	3	#C49A00
3.58848938264713	#F8766D	3.54	70.9731707317073	Australia	East Asia & Pacific (all income levels)	Australia	3	#F8766D
2.09861762692122	#53B400	4.655	65.9880243902439	Aruba	Latin America & Caribbean (all income levels)	Aruba	3	#53B400
2.98378296437285	#C49A00	5.596	61.2391707317073	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	3	#C49A00
2.897697123948	#C49A00	3.954	60.8818536585366	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	3	#C49A00
2.22845111687468	#53B400	4.313	65.0817804878049	Barbados	Latin America & Caribbean (all income levels)	Barbados	3	#53B400
5.5041042234016	#A58AFF	6.758	48.2351219512195	Bangladesh	South Asia	Bangladesh	3	#A58AFF
3.48666101394417	#C49A00	2.644	70.5209756097561	Belgium	Europe & Central Asia (all income levels)	Belgium	3	#C49A00
3.08452976874389	#FB61D7	6.316	36.3746097560976	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	3	#FB61D7
3.38241017167795	#C49A00	2.29	70.1956097560976	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	3	#C49A00
2.19194009979018	#00C094	7.132	53.2025853658537	Bahrain	Middle East & North Africa (all income levels)	Bahrain	3	#00C094
2.82524996452166	#FB61D7	6.801	41.5484634146341	Burundi	Sub-Saharan Africa (all income levels)	Burundi	3	#FB61D7
2.76863163200377	#FB61D7	6.339	35.8840487804878	Benin	Sub-Saharan Africa (all income levels)	Benin	3	#FB61D7
2.1304445372814	#F8766D	6.487	62.8772682926829	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	3	#F8766D
2.90705571776137	#53B400	6.672	42.9612926829268	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	3	#53B400
6.25115166880451	#53B400	6.19	54.9587317073171	Brazil	Latin America & Caribbean (all income levels)	Brazil	3	#53B400
2.15527286258756	#53B400	4.496	63.5934878048781	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	3	#53B400
2.22726043960164	#A58AFF	6.67	37.314487804878	Bhutan	South Asia	Bhutan	3	#A58AFF
2.3546004908671	#FB61D7	6.632	50.8976341463415	Botswana	Sub-Saharan Africa (all income levels)	Botswana	3	#FB61D7
3.41072540713634	#C49A00	2.59	68.5559268292683	Belarus	Europe & Central Asia (all income levels)	Belarus	3	#C49A00
2.1385299166055	#53B400	6.48	61.3918048780488	Belize	Latin America & Caribbean (all income levels)	Belize	3	#53B400
4.0977612582038	#00B6EB	3.753	71.3460975609756	Canada	North America	Canada	3	#00B6EB
3.94057898338576	#FB61D7	6.015	41.2335365853659	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	3	#FB61D7
2.6041396253665	#FB61D7	5.867	36.8957073170732	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	3	#FB61D7
2.49703673075652	#FB61D7	5.922	49.229512195122	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	3	#FB61D7
3.14293648251695	#C49A00	2.484	71.6448780487805	Switzerland	Europe & Central Asia (all income levels)	Switzerland	3	#C49A00
2.92986338389223	#FB61D7	7.427	40.5932926829268	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	3	#FB61D7
3.37389456743236	#53B400	5.543	57.4063414634146	Chile	Latin America & Caribbean (all income levels)	Chile	3	#53B400
3.14716941283775	#FB61D7	5.819	41.9653414634146	Cameroon	Sub-Saharan Africa (all income levels)	Cameroon	3	#FB61D7
14.6162375545262	#F8766D	5.523	43.7722926829268	China	East Asia & Pacific (all income levels)	China	3	#F8766D
3.99274904915983	#53B400	6.8	57.2438780487805	Colombia	Latin America & Caribbean (all income levels)	Colombia	3	#53B400
2.57391829047178	#53B400	7.295	62.1742926829268	Costa Rica	Latin America & Caribbean (all income levels)	Costa Rica	3	#53B400
3.32422893616525	#53B400	4.36	64.2764390243903	Cuba	Latin America & Caribbean (all income levels)	Cuba	3	#53B400
2.22069655529464	#FB61D7	6.922	48.9037804878049	Cape Verde	Sub-Saharan Africa (all income levels)	Cape Verde	3	#FB61D7
2.36783592939886	#C49A00	3.471	69.9255365853659	Cyprus	Europe & Central Asia (all income levels)	Cyprus	3	#C49A00
3.51895781979201	#C49A00	2.11	70.5126829268293	Czech Republic	Europe & Central Asia (all income levels)	Czech Republic	3	#C49A00
6.20524684972945	#C49A00	2.45	69.8263902439025	Germany	Europe & Central Asia (all income levels)	Germany	3	#C49A00
2.13302458650893	#00C094	7.814	39.0096829268293	Djibouti	Middle East & North Africa (all income levels)	Djibouti	3	#00C094
3.0526223026711	#C49A00	2.547	72.4382926829268	Denmark	Europe & Central Asia (all income levels)	Denmark	3	#C49A00
2.90658149429698	#53B400	7.488	52.5177317073171	Dominican Republic	Latin America & Caribbean (all income levels)	Dominican Republic	3	#53B400
3.66825265885491	#00C094	7.348	47.5183658536585	Algeria	Middle East & North Africa (all income levels)	Algeria	3	#00C094
3.05639347965159	#53B400	6.715	53.7563658536585	Ecuador	Latin America & Caribbean (all income levels)	Ecuador	3	#53B400
2.5411721943971	#C49A00	1.97	68.8391951219512	Estonia	Europe & Central Asia (all income levels)	Estonia	3	#C49A00
4.633481059371	#00C094	6.623	46.3473658536585	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	Egypt, Arab Rep.	3	#00C094
2.58570143401542	#FB61D7	6.87	39.5283658536585	Eritrea	Sub-Saharan Africa (all income levels)	Eritrea	3	#FB61D7
