size	colour	x	y	key	showSelectedlegendcolour	clickSelects	PANEL	fill
2.2721892157869	#00C094	6.402	64.1599512195122	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	3	#00C094
3.67429071421035	#A58AFF	7.697	35.9168780487805	Afghanistan	South Asia	Afghanistan	3	#A58AFF
2.73419705380263	#C49A00	4.688	67.5444634146342	Albania	Europe & Central Asia (all income levels)	Albania	3	#C49A00
2.79597232749728	#C49A00	3.032	70.367512195122	Armenia	Europe & Central Asia (all income levels)	Armenia	3	#C49A00
3.21912463345135	#FB61D7	7.232	37.8262195121951	Angola	Sub-Saharan Africa (all income levels)	Angola	3	#FB61D7
4.44356448716882	#53B400	3.148	67.1246097560976	Argentina	Latin America & Caribbean (all income levels)	Argentina	3	#53B400
3.34718172984688	#C49A00	2.102	70.4136585365854	Austria	Europe & Central Asia (all income levels)	Austria	3	#C49A00
3.78120448711393	#F8766D	2.744	71.4575609756098	Australia	East Asia & Pacific (all income levels)	Australia	3	#F8766D
2.10387220347245	#53B400	2.691	69.7986585365854	Aruba	Latin America & Caribbean (all income levels)	Aruba	3	#53B400
3.13859223407524	#C49A00	4.348	65.1481219512195	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	3	#C49A00
2.95505940558522	#C49A00	2.675	67.0786585365854	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	3	#C49A00
2.23354763368606	#53B400	2.794	69.22	Barbados	Latin America & Caribbean (all income levels)	Barbados	3	#53B400
6.06986516252616	#A58AFF	6.931	38.9699024390244	Bangladesh	South Asia	Bangladesh	3	#A58AFF
3.52880182084912	#C49A00	2.09	71.4051219512195	Belgium	Europe & Central Asia (all income levels)	Belgium	3	#C49A00
3.183437798961	#FB61D7	6.7	41.9839756097561	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	3	#FB61D7
3.43654544560663	#C49A00	2.03	70.899512195122	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	3	#C49A00
2.22738768569223	#00C094	6.089	65.4454878048781	Bahrain	Middle East & North Africa (all income levels)	Bahrain	3	#00C094
2.9227409121073	#FB61D7	6.811	43.9979756097561	Burundi	Sub-Saharan Africa (all income levels)	Burundi	3	#FB61D7
2.85380825604689	#FB61D7	6.823	41.1709024390244	Benin	Sub-Saharan Africa (all income levels)	Benin	3	#FB61D7
2.17478643736423	#F8766D	5.758	67.9030975609756	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	3	#F8766D
3.03151520831543	#53B400	6.496	46.5489024390244	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	3	#53B400
6.92923319856871	#53B400	4.782	59.3203902439024	Brazil	Latin America & Caribbean (all income levels)	Brazil	3	#53B400
2.19807126503107	#53B400	3.469	66.4389756097561	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	3	#53B400
2.26789741416462	#A58AFF	6.679	41.5821219512195	Bhutan	South Asia	Bhutan	3	#A58AFF
2.41805362596254	#FB61D7	6.579	55.6137317073171	Botswana	Sub-Saharan Africa (all income levels)	Botswana	3	#FB61D7
3.48706793573542	#C49A00	2.28	70.8183170731707	Belarus	Europe & Central Asia (all income levels)	Belarus	3	#C49A00
2.16435301553595	#53B400	6.284	66.9684390243903	Belize	Latin America & Caribbean (all income levels)	Belize	3	#53B400
4.30172663401648	#00B6EB	1.98	72.9339024390244	Canada	North America	Canada	3	#00B6EB
4.25559519884101	#FB61D7	6.271	44.4953902439024	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	3	#FB61D7
2.67418071680304	#FB61D7	5.953	43.503	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	3	#FB61D7
2.58164153020328	#FB61D7	6.297	54.1023414634146	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	3	#FB61D7
3.22701725950636	#C49A00	1.923	73.6443902439025	Switzerland	Europe & Central Asia (all income levels)	Switzerland	3	#C49A00
3.1755145365385	#FB61D7	7.937	45.5173902439024	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	3	#FB61D7
3.54592734420718	#53B400	3.679	63.3829756097561	Chile	Latin America & Caribbean (all income levels)	Chile	3	#53B400
