size	colour	x	y	key	showSelectedlegendcolour	clickSelects	PANEL	fill
2.21178253887457	#00C094	6.679	61.5878780487805	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	3	#00C094
3.60706037874745	#A58AFF	7.7	34.637512195122	Afghanistan	South Asia	Afghanistan	3	#A58AFF
2.70628671927823	#C49A00	4.972	66.7384634146342	Albania	Europe & Central Asia (all income levels)	Albania	3	#C49A00
2.76711979783414	#C49A00	3.314	69.5987073170732	Armenia	Europe & Central Asia (all income levels)	Armenia	3	#C49A00
3.18263418483913	#FB61D7	7.339	36.6060487804878	Angola	Sub-Saharan Africa (all income levels)	Angola	3	#FB61D7
4.38499841289239	#53B400	3.056	66.2933170731707	Argentina	Latin America & Caribbean (all income levels)	Argentina	3	#53B400
3.33792196538751	#C49A00	2.496	69.8331707317073	Austria	Europe & Central Asia (all income levels)	Austria	3	#C49A00
3.7182459010383	#F8766D	2.886	70.9687804878049	Australia	East Asia & Pacific (all income levels)	Australia	3	#F8766D
2.10255853198517	#53B400	3.054	68.7284146341464	Aruba	Latin America & Caribbean (all income levels)	Aruba	3	#53B400
3.10342444998996	#C49A00	4.753	64.4186829268293	Azerbaijan	Europe & Central Asia (all income levels)	Azerbaijan	3	#C49A00
2.94042532200171	#C49A00	2.994	65.4456829268293	Bosnia and Herzegovina	Europe & Central Asia (all income levels)	Bosnia and Herzegovina	3	#C49A00
2.23163709295157	#53B400	3.284	68.145	Barbados	Latin America & Caribbean (all income levels)	Barbados	3	#53B400
5.94932420290362	#A58AFF	6.94	44.3662926829268	Bangladesh	South Asia	Bangladesh	3	#A58AFF
3.52366226473742	#C49A00	2.245	70.7648780487805	Belgium	Europe & Central Asia (all income levels)	Belgium	3	#C49A00
3.15279363801396	#FB61D7	6.593	40.3736829268293	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	3	#FB61D7
3.42457953501572	#C49A00	2.27	70.43	Bulgaria	Europe & Central Asia (all income levels)	Bulgaria	3	#C49A00
2.21478432373473	#00C094	6.69	62.9744634146342	Bahrain	Middle East & North Africa (all income levels)	Bahrain	3	#00C094
2.90235021978666	#FB61D7	6.801	43.5884390243902	Burundi	Sub-Saharan Africa (all income levels)	Burundi	3	#FB61D7
2.82616619389398	#FB61D7	6.71	39.1287317073171	Benin	Sub-Saharan Africa (all income levels)	Benin	3	#FB61D7
2.16192758837608	#F8766D	5.731	66.6882195121951	Brunei Darussalam	East Asia & Pacific (all income levels)	Brunei Darussalam	3	#F8766D
2.99438719139169	#53B400	6.587	45.4228048780488	Bolivia	Latin America & Caribbean (all income levels)	Bolivia	3	#53B400
6.75239037679802	#53B400	5.168	58.1863902439024	Brazil	Latin America & Caribbean (all income levels)	Brazil	3	#53B400
2.18961904228954	#53B400	3.571	66.0115853658537	Bahamas, The	Latin America & Caribbean (all income levels)	Bahamas, The	3	#53B400
2.2537950205821	#A58AFF	6.67	40.1257317073171	Bhutan	South Asia	Bhutan	3	#A58AFF
2.39775389478918	#FB61D7	6.667	53.9278780487805	Botswana	Sub-Saharan Africa (all income levels)	Botswana	3	#FB61D7
3.46841799261591	#C49A00	2.26	70.3150487804878	Belarus	Europe & Central Asia (all income levels)	Belarus	3	#C49A00
2.15846294474177	#53B400	6.316	65.5598780487805	Belize	Latin America & Caribbean (all income levels)	Belize	3	#53B400
4.25059534437979	#00B6EB	2.334	72.5014634146341	Canada	North America	Canada	3	#00B6EB
4.16493424770307	#FB61D7	6.187	43.4999268292683	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	3	#FB61D7
2.65449370454994	#FB61D7	5.954	41.2093902439024	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	3	#FB61D7
2.55573231599934	#FB61D7	6.235	53.0775853658537	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	3	#FB61D7
3.21471967781304	#C49A00	2.123	72.6126829268293	Switzerland	Europe & Central Asia (all income levels)	Switzerland	3	#C49A00
3.09738747842282	#FB61D7	7.883	43.1974146341463	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	3	#FB61D7
3.504131118864	#53B400	4.202	61.5472926829268	Chile	Latin America & Caribbean (all income levels)	Chile	3	#53B400
